iter	Passed	Remaining
432	1570	2056
433	1573	2052
434	1577	2049
435	1581	2045
436	1584	2041
437	1587	2037
438	1591	2033
439	1594	2028
440	1597	2025
441	1600	2021
442	1604	2017
443	1608	2013
444	1611	2009
445	1615	2006
446	1618	2002
447	1621	1998
448	1625	1994
449	1628	1990
450	1632	1987
451	1635	1982
452	1638	1979
453	1642	1975
454	1645	1971
455	1649	1967
456	1653	1964
457	1657	1961
458	1661	1958
459	1665	1954
460	1668	1950
461	1671	1946
462	1675	1943
463	1678	1939
464	1682	1935
465	1686	1932
466	1689	1928
467	1692	1924
468	1696	1920
469	1700	1917
470	1703	1913
471	1706	1909
472	1710	1905
473	1714	1902
474	1718	1899
475	1721	1895
476	1724	1891
477	1728	1887
478	1732	1884
479	1735	1880
480	1739	1876
481	1742	1872
482	1746	1869
483	1750	1866
484	1753	1862
485	1757	1858
486	1761	1855
487	1765	1851
488	1768	1848
489	1772	1844
490	1775	1840
491	1779	1837
492	1783	1833
493	1786	1829
494	1789	1825
495	1793	1822
496	1797	1818
497	1801	1815
498	1804	1811
499	1808	1808
500	1811	1804
501	1815	1801
502	1819	1797
503	1822	1793
504	1826	1790
505	1830	1787
506	1834	1783
507	1838	1780
508	1841	1776
509	1845	1773
510	1849	1769
511	1852	1766
512	1856	1762
513	1860	1759
514	1864	1755
515	1867	1752
516	1871	1748
517	1875	1745
518	1879	1741
519	1882	1737
520	1885	1733
521	1888	1729
522	1892	1725
523	1895	1722
524	1898	1717
525	1901	1713
526	1904	1709
527	1908	1705
528	1911	1701
529	1914	1698
530	1918	1694
531	1921	1690
532	1925	1686
533	1928	1683
534	1932	1679
535	1935	1675
536	1938	1671
537	1943	1668
538	1947	1665
539	1950	1661
540	1953	1657
541	1957	1654
542	1961	1650
543	1964	1646
544	1968	1643
545	1971	1638
546	1974	1635
547	1978	1631
548	1982	1628
549	1985	1624
550	1989	1620
551	1992	1617
552	1995	1613
553	1999	1609
554	2002	1605
555	2006	1602
556	2009	1598
557	2013	1595
558	2017	1591
559	2021	1588
560	2024	1584
561	2028	1581
562	2033	1578
563	2037	1575
564	2042	1572
565	2046	1568
566	2050	1565
567	2054	1562
568	2058	1559
569	2062	1555
570	2067	1553
571	2071	1550
572	2076	1547
573	2081	1544
574	2084	1540
575	2088	1537
576	2091	1533
577	2095	1529
578	2098	1525
579	2101	1521
580	2105	1518
581	2108	1514
582	2112	1510
583	2115	1506
584	2118	1502
585	2122	1499
586	2125	1495
587	2129	1492
588	2132	1488
589	2136	1484
590	2139	1480
591	2143	1476
592	2146	1473
593	2149	1469
594	2153	1465
